Source,Target,Association
custom.sap.hana.calscript.v7.HanaScriptBlock/CV_SALES_ORDERS/order_header,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_SALES_ORDERS/order_items,core.DataSetDataFlow
custom.sap.hana.calscript.v7.HanaScriptBlock/CV_SALES_ORDERS/order_items,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_SALES_ORDERS/enriched,core.DataSetDataFlow
custom.sap.hana.calscript.v7.HanaScriptBlock/CV_SALES_ORDERS/enriched,custom.sap.hana.calscript.v7.HanaCalcView/CV_SALES_ORDERS,core.DataSetDataFlow
REF_HANA_SLT_PRD_SD_DS/VBAK/VBELN,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/VBELN,core.DirectionalDataFlow
REF_HANA_SLT_PRD_SD_DS/VBAP/VBELN,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/VBELN,core.DirectionalDataFlow
REF_HANA_SLT_PRD_SD_DS/VBAK/ERDAT,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/ERDAT,core.DirectionalDataFlow
REF_HANA_SLT_PRD_SD_DS/VBAK/AUART,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/AUART,core.DirectionalDataFlow
REF_HANA_SLT_PRD_SD_DS/VBAK/KUNNR,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/KUNNR,core.DirectionalDataFlow
REF_HANA_SLT_PRD_SD_DS/KNA1/KUNNR,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/KUNNR,core.DirectionalDataFlow
REF_HANA_SLT_PRD_SD_DS/VBAP/MATNR,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/MATNR,core.DirectionalDataFlow
REF_HANA_SLT_PRD_SD_DS/VBAP/ARKTX,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/ARKTX,core.DirectionalDataFlow
REF_HANA_SLT_PRD_SD_DS/VBAK/WAERK,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/WAERK,core.DirectionalDataFlow
REF_HANA_SLT_PRD_SD_DS/VBAK/VKORG,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/VKORG,core.DirectionalDataFlow
REF_HANA_SLT_PRD_SD_DS/VBAP/KWMENG,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/KWMENG,core.DirectionalDataFlow
REF_HANA_SLT_PRD_SD_DS/VBAP/NETWR,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/NETWR,core.DirectionalDataFlow
REF_HANA_SLT_PRD_SD_DS/VBAP/MWSBP,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/MWSBP,core.DirectionalDataFlow
$RESOURCE,REF_HANA_SLT_PRD_BAP_CONN,core.ResourceParentChild
REF_HANA_SLT_PRD_BAP_CONN,REF_HANA_SLT_PRD_BAP_DS,core.ResourceParentChild
REF_HANA_SLT_PRD_BAP_DS,REF_HANA_SLT_PRD_BAP_DS/BSEG,core.DataSourceParentChild
REF_HANA_SLT_PRD_BAP_DS/BSEG,REF_HANA_SLT_PRD_BAP_DS/BSEG/BELNR,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_BAP_DS/BSEG,REF_HANA_SLT_PRD_BAP_DS/BSEG/BUKRS,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_BAP_DS/BSEG,REF_HANA_SLT_PRD_BAP_DS/BSEG/BUZEI,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_BAP_DS/BSEG,REF_HANA_SLT_PRD_BAP_DS/BSEG/GJAHR,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_BAP_DS,REF_HANA_SLT_PRD_BAP_DS/FAGLFLEXA,core.DataSourceParentChild
REF_HANA_SLT_PRD_BAP_DS/FAGLFLEXA,REF_HANA_SLT_PRD_BAP_DS/FAGLFLEXA/BUDAT,core.DataSetToDataElementParentship
